,일시,광진구,동대문구,성동구,중랑구
0,20220101,2.327525211740826,2.3962855776237806,2.097469954920583,1.4764371796342448
1,20220102,2.49715493844674,2.4808526126108146,2.3113218256598036,1.5648224721476711
2,20220103,2.5701123680551192,2.543860721755231,2.3595665986883114,1.6004246977381116
3,20220104,2.4896713630178056,2.4359213429160533,2.2611976931374036,1.5460909974801555
4,20220105,2.602828523686059,2.5887354816704864,2.360267162110722,1.6276730955060636
5,20220106,2.6326985868422583,2.5633888475795774,2.3723664985926627,1.6369047416150349
6,20220107,2.678704786566612,2.6079202027517225,2.4036999677774107,1.6543483984766998
7,20220108,2.66643900997581,2.5954513568703463,2.367407496217002,1.6539060029964727
8,20220109,2.641054017711039,2.5916900581401863,2.3823052054557676,1.6684371674330307
9,20220110,2.793370856930269,2.7134723958009177,2.5359395905677813,1.7423818073099742
10,20220111,2.84002499645196,2.7619273276661067,2.6148525859321468,1.773058502371357
11,20220112,2.9282724550670602,2.7882891582144187,2.6675233381987358,1.8035334066086022
12,20220113,2.9255727668205984,2.8210806779884123,2.6734375188096235,1.8183147358776182
13,20220114,3.020205060025697,2.8813526024757885,2.7372042525013076,1.8480493267995393
14,20220115,3.0018192878665806,2.8043865657588842,2.712021742633168,1.829588321493827
15,20220116,3.00554685454109,2.834402221745731,2.719034679881102,1.8473593944666837
16,20220117,3.084402657520347,2.8987791814185666,2.7734129168458628,1.908419704073916
17,20220118,3.081851032053786,2.868866196863351,2.784193630040317,1.9030224477593152
18,20220119,3.2268566986991885,3.003485305709582,2.900230798890808,1.9770716971256472
19,20220120,3.3398164660870506,3.0478199251721674,3.0091055141853333,2.025135412819598
20,20220121,3.518182892287264,3.238832475152971,3.1939316578710524,2.1437915781106747
21,20220122,3.6084395645192067,3.2352158096930705,3.2928846993677743,2.2045095336533245
22,20220123,3.6443684272902233,3.260481317003643,3.318127719016932,2.2265427006977396
23,20220124,3.6506611894227206,3.2938844397784983,3.3437447576808546,2.2486891031404594
24,20220125,3.642606156176361,3.2717133192642573,3.316146724323506,2.237078906680186
25,20220126,3.569380816532939,3.2234973176865407,3.263106069927756,2.216660992892669
26,20220127,3.5522886435510563,3.2222252118795445,3.237080512657414,2.208603853202759
