일시,광진구,동대문구,성동구,중랑구
20220101,3.5213128928426953,3.6253404503870175,3.1732622947993496,2.233701809068649
20220102,3.7779457063760726,3.753281917618901,3.496798790040718,2.3674199181122115
20220103,3.88832300163059,3.848606885943489,3.5697883071555463,2.421282525207989
20220104,3.7666238051096377,3.6853053996976968,3.4209659899475784,2.339081070087727
20220105,3.9378192734846387,3.9164979102192787,3.570848189557311,2.4625066261911233
20220106,3.9830096920336526,3.8781509875031426,3.5891532757208395,2.476473183589386
20220107,4.052612471596627,3.945522474743081,3.6365576812504443,2.5028636920553993
20220108,4.034055578192403,3.926658357809147,3.5816508010267025,2.502194391933364
20220109,3.9956506233950306,3.920967888960288,3.6041895453340316,2.524178590609432
20220110,4.2260907694498036,4.105212387607208,3.8366230065699964,2.6360494362792597
20220111,4.29667381713217,4.178519854026053,3.956010477256745,2.682460208237626
20220112,4.430183397270954,4.218402667462594,4.035696058360868,2.7285656908581544
20220113,4.426099038922883,4.268012957728669,4.044643622207079,2.7509283639092486
20220114,4.569268235312877,4.35919835228562,4.141116313609229,2.795913826515023
20220115,4.541452400613349,4.242756435336615,4.103017694429719,2.767984171588011
20220116,4.547091836235215,4.288167121279116,4.113627567192118,2.794870027888646
20220117,4.666392780562533,4.3855630235681495,4.195896401896106,2.8872481702934274
20220118,4.662532426394173,4.340307669234564,4.212206542887995,2.879082661215068
20220119,4.881911499462002,4.543972919008026,4.387759175641903,2.9911117705813917
20220120,5.0528083315430985,4.611046764792973,4.552475732410991,3.0638273660547704
20220121,5.322658897741402,4.90002965165893,4.832099205193115,3.24334227852364
20220122,5.459208217161108,4.894557998484647,4.981805261673506,3.3352024734641144
20220123,5.513564993647379,4.932782184494811,5.019995426100716,3.3685364518856113
20220124,5.523085313477634,4.983317768940889,5.058751443895364,3.402041744141201
20220125,5.510898853679216,4.949775080714894,5.016998379229032,3.384476677916453
20220126,5.400116237332682,4.876829091927967,4.936753173193702,3.3535864161473192
20220127,5.374257488828393,4.874904523052563,4.897379107599401,3.3413967695104545
20220128,5.384367030173038,4.915074041622306,4.911409700113173,3.324703174293412
20220129,5.2986894559434665,4.783010891710147,4.829982856316232,3.2921206170675488
20220130,5.2289319656506335,4.806181994792947,4.710206329101395,3.287937432792073
20220131,5.018811810797322,4.377392636055984,4.522499907386929,3.17590573570188
20220201,5.27345854344855,4.767173257831819,4.827585750148325,3.2719567699519163
