일시,광진구,동대문구,성동구,중랑구
20220101,1.5327601958906716,1.424638426766407,1.2829504764877624,0.9071710799629756
20220102,2.3252254204035885,2.1511370534182874,1.9630893986259883,1.3683051932813393
20220103,3.2123216021672123,2.9564576674235226,2.7377078893205526,1.8782875990703392
20220104,3.803143963019349,3.4773276215190894,3.282129310520167,2.206087457157128
20220105,4.255154370262809,3.8676148611193915,3.718204101469497,2.4510716804389405
20220106,4.533886365287652,4.100188124201733,4.011498224359622,2.5969679682384834
20220107,4.687128486303687,4.225487237645031,4.194556702976017,2.677063682838976
20220108,4.707832606974222,4.2422379690604615,4.25527185337456,2.6916064112166276
20220109,4.652150415306558,4.198866637013343,4.237554797770499,2.6710967495808657
20220110,4.548815267034745,4.117942530435122,4.162990304514285,2.6295154064876094
20220111,4.431350376401381,4.025862854777218,4.0607049444020555,2.580985470030586
20220112,4.333278957649067,3.9490248154910486,3.9598252882299567,2.5396300283035225
20220113,4.288124225020398,3.9138256180280324,3.889477906794127,2.5195721694001456
20220114,4.292838601403682,3.9179764209377486,3.8596146075128823,2.515947033924592
20220115,4.344374509687227,3.9591883827697765,3.8801871978045397,2.523889762481001
20220116,4.431208834648951,4.026867885989925,3.9426643416612466,2.5435600144509665
20220117,4.5418184610667724,4.110421313064001,4.038514703075152,2.5751174492160818
20220118,4.668901415392696,4.203970350471302,4.16493572382987,2.6199464237343166
20220119,4.813121173199612,4.307839182179259,4.312723462283925,2.6852716839889195
20220120,4.975141210060407,4.422351992155306,4.472673976795843,2.7783179759631413
20220121,5.152312464827836,4.549779793498358,4.645781941328502,2.89038221208103
20220122,5.341985876354661,4.692393599307327,4.833042029844782,3.0127613047666353
20220123,5.516709510755733,4.827481398440233,5.004887666119318,3.127847081855655
20220124,5.648903420645267,4.932245440237347,5.135743652379211,3.217198221092171
20220125,5.717267221854891,4.987898580231038,5.204395767582612,3.2652939033249955
20220126,5.713392783953458,4.981362677862133,5.194514779974695,3.272825902037748
20220127,5.628871976509825,4.899559592571465,5.089771457800641,3.240485990714051
20220128,5.504378437262052,4.7760684324416305,4.931147653121565,3.18833301114433
20220129,5.380585803948198,4.644468305555233,4.75962521799858,3.136425805119016
20220130,5.282636814318751,4.531439123969109,4.608642260076733,3.0970121095958483
20220131,5.2297801687089445,4.460481826263953,4.50749462309016,3.076888004141697
20220201,5.2382229838070655,4.451947707203763,4.482595760028681,3.081218352206197
20220202,5.2835328914803705,4.4889614209377395,4.514505595649111,3.098250344084924
20220203,5.341277523596109,4.554647621615087,4.58378405470826,3.116231170073455
20220204,5.395939832679751,4.628764914309718,4.667456434824865,3.129318316337071
20220205,5.43200277125676,4.69107190409555,4.742548033617654,3.131669269041055
20220206,5.441757083022488,4.728457554566673,4.79329285842027,3.123269464912295
20220207,5.42963295938794,4.738647941517611,4.817299833380204,3.109335332536907
20220208,5.402526560522415,4.722687052959945,4.814201429938081,3.09417706501369
20220209,5.370977852371832,4.6930061383647335,4.795886700134702,3.0820355657811915
20220210,5.345526800882113,4.662036447203033,4.774244696010868,3.077151738277955
20220211,5.331539500371172,4.639716016285548,4.7568326849285665,3.0760699309611157
20220212,5.334382045156926,4.63598288242298,4.751207934249783,3.075334492287806
20220213,5.364021186840338,4.655677667725775,4.770871687923621,3.0813753751052313
20220214,5.427115887357697,4.698508371753855,4.82378600412211,3.099672127779104
20220215,5.529244832059708,4.768156165383784,4.917005248875849,3.1342271255940406
20220216,5.675077410631199,4.864496144519097,5.056150791405615,3.193476866581598
20220217,5.869283012756996,4.987403405063326,5.246844000932184,3.2858578487733348
20220218,6.087933243722988,5.132137813718453,5.464733033156157,3.395587169954498
20220219,6.307099708815067,5.29395923718646,5.685466043778138,3.506881927910337
20220220,6.517610093084652,5.459798502050232,5.898828998240462,3.614789245551613
20220221,6.711609041354104,5.618905007822559,6.09604632450351,3.713421943579185
20220222,6.8730891035520285,5.760462815070182,6.260809032090765,3.792497604019356
20220223,7.019572551522554,5.884907037995492,6.410828438632152,3.8641407381701
20220224,7.1685816571098115,5.992672790800882,6.563815861757606,3.9404758573293956
20220225,7.2998521123748334,6.085343280146172,6.700515342720437,4.010000435905269
20220226,7.3796722383655515,6.150081559364285,6.787461123922894,4.0543266494339
20220227,7.398786640811181,6.174246698626316,6.813787703077922,4.068252389475139
20220228,7.3359413618829965,6.140341446152456,6.756614959431949,4.039408649660717
20220301,7.196043128482073,6.055105241715052,6.6183478494999015,3.96997367090118
20220302,7.019624694121437,5.932075775262325,6.436543221890461,3.882798384834822
20220303,6.887560925353381,5.8280511967231705,6.2913873217655185,3.8213896197154895
20220304,6.856270404048926,5.79963363918832,6.240466138976266,3.816068487773353
20220305,6.982171712079091,5.903425235748501,6.341365663373888,3.8971561012385836
20220306,7.260013939541645,6.124557805462436,6.587794463076286,4.055600092667932
20220307,7.673030926525575,6.4445726935580065,6.962046372883915,4.275949588735931
20220308,8.154809345676254,6.80458941444874,7.3955467187446775,4.5209508530526294
20220309,8.647087964532819,7.145792821494216,7.8272542450433775,4.757745387902635
20220310,9.091605550634403,7.409367768054014,8.196127696164819,4.9534746955705575
20220311,9.45814523846105,7.6054899002707685,8.481047618082627,5.106117233688393
20220312,9.716490162492793,7.744334864287115,8.66089455677043,5.213651459888138
20220313,9.854284061499458,7.823440142977054,8.73423725424962,5.27399006485613
20220314,9.859170674250876,7.8403432192145885,8.699644452541593,5.285045739278708
20220315,9.745912214450883,7.8136999699576455,8.577930104646995,5.256468980691165
20220316,9.553547898322027,7.741648862485414,8.400556516514682,5.196167825839026
20220317,9.321116942086867,7.622328364077092,8.198985994093492,5.11205031146782
20220318,9.130249188563845,7.518020116800523,8.037680325538252,5.0397594704692
20220319,9.062574480571413,7.491005762723563,7.981101299003787,5.0149383357348185
20220320,9.100267816269836,7.5177019244186125,8.006900880520583,5.0250782984795315
20220321,9.208691631403207,7.573285463833605,8.080753226046896,5.0534024877551795
20220322,9.387087882244666,7.6675534442448035,8.20274532309776,5.103933821645661
20220323,9.57349778966279,7.751837012472461,8.323486452383547,5.1506662891908785
20220324,9.705962574526163,7.777467315336828,8.393585894614624,5.167593879430736
20220325,9.858177142073828,7.826660193640958,8.490611130998799,5.202738665341815
20220326,10.103836397544832,7.981631488187904,8.692129642743877,5.304122719900691
20220327,10.383541570521608,8.191189811029872,8.94506334155089,5.440969678576585
20220328,10.661395820522884,8.422686203315637,9.21557307882221,5.592895142003026
20220329,10.942109616633362,8.67862332187457,9.507432437490893,5.762456735986794
20220330,11.148976693435303,8.872855917721092,9.741947221951094,5.901659616095901
20220331,11.205290785510963,8.919238741869615,9.840423236596962,5.962508937898355
20220401,11.230349531238181,8.924127023617062,9.909626005002279,6.008606435291902
20220402,11.343450568994784,8.993875992260353,10.056321050740822,6.1035538421742865
20220403,11.545019533458253,9.120601228976206,10.277615370717681,6.240813343914864
20220404,11.853581479162209,9.318928152185016,10.590690151024482,6.426785347012928
20220405,12.261561306864648,9.596999185462435,10.987221395540043,6.656744104605403
20220406,12.63313905458609,9.839696676758289,11.34225105207712,6.855966869563598
20220407,12.832494760347052,9.931902974022394,11.530821068448462,6.949730894758815
20220408,12.836780615873282,9.89030967548158,11.531272583288777,6.936079927608021
20220409,12.62314881289053,9.731608379362664,11.321946735232771,6.813057715528179
